"id","event","event_date","data_name","data_value"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","clientId","aaa"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/aaa/connected"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","connection","keep-alive"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","acceptLanguage","en-US,en;q=0.9"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","acceptEncoding","gzip, deflate, br, zstd"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","host","nlab.ph.ucla.edu:9663"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","ipAddress","68.237.46.115"
"93857","clientLogIn","2024-06-27T22:42:18:209Z","requestURI","/game/65/1089/aaa/state"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","clientId","6661c345c3042dd7cdf93aaa"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6661c345c3042dd7cdf93aaa/connected?PROLIFIC_PID=6661c345c3042dd7cdf93aaa&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb3091e214a2687b1aac"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","connection","keep-alive"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","acceptLanguage","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","acceptEncoding","gzip, deflate, br, zstd"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","host","nlab.ph.ucla.edu:9663"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","ipAddress","174.74.242.229"
"93858","clientLogIn","2024-06-27T22:44:13:287Z","requestURI","/game/65/1089/6661c345c3042dd7cdf93aaa/state"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","clientId","65c05e7ff5273153e07402e2"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/65c05e7ff5273153e07402e2/connected?PROLIFIC_PID=65c05e7ff5273153e07402e2&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb48058b06b910b959e1"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","connection","keep-alive"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","acceptLanguage","en"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","acceptEncoding","gzip, deflate, br, zstd"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","host","nlab.ph.ucla.edu:9663"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","ipAddress","138.84.56.97"
"93859","clientLogIn","2024-06-27T22:44:29:540Z","requestURI","/game/65/1089/65c05e7ff5273153e07402e2/state"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","clientId","5f0b4c0076b70d45de9f2c60"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/5f0b4c0076b70d45de9f2c60/connected?PROLIFIC_PID=5f0b4c0076b70d45de9f2c60&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb4b7c408e60b45794d3"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","connection","keep-alive"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","acceptLanguage","en-US,en;q=0.9"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","acceptEncoding","gzip, deflate, br, zstd"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","host","nlab.ph.ucla.edu:9663"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","ipAddress","50.65.30.46"
"93860","clientLogIn","2024-06-27T22:44:40:840Z","requestURI","/game/65/1089/5f0b4c0076b70d45de9f2c60/state"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","clientId","666316060a19030e10987142"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/666316060a19030e10987142/connected?PROLIFIC_PID=666316060a19030e10987142&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb570ebe830e773bacb1"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","connection","keep-alive"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","acceptLanguage","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","requestURI","/game/65/1089/666316060a19030e10987142/state"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","acceptEncoding","gzip, deflate, br, zstd"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","host","nlab.ph.ucla.edu:9663"
"93841","clientLogIn","2024-06-27T22:45:00:748Z","ipAddress","41.122.18.237"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","clientId","667d7f5e63dddc96798de26d"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/667d7f5e63dddc96798de26d/connected?PROLIFIC_PID=667d7f5e63dddc96798de26d&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb663885f92237b1b1ed"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","connection","keep-alive"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","acceptLanguage","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","acceptEncoding","gzip, deflate, br, zstd"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","host","nlab.ph.ucla.edu:9663"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","ipAddress","176.77.143.97"
"93842","clientLogIn","2024-06-27T22:45:01:083Z","requestURI","/game/65/1089/667d7f5e63dddc96798de26d/state"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","clientId","5ed6c1c29e50c21348065f98"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/5ed6c1c29e50c21348065f98/connected?PROLIFIC_PID=5ed6c1c29e50c21348065f98&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb706beb0c2ecb40f9d0"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","connection","keep-alive"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","acceptLanguage","es-ES,es;q=0.9,en;q=0.8"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","acceptEncoding","gzip, deflate, br, zstd"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","host","nlab.ph.ucla.edu:9663"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","ipAddress","79.146.86.55"
"93843","clientLogIn","2024-06-27T22:45:13:180Z","requestURI","/game/65/1089/5ed6c1c29e50c21348065f98/state"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","clientId","665a4578546c9bcc753c105c"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/665a4578546c9bcc753c105c/connected?PROLIFIC_PID=665a4578546c9bcc753c105c&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb6f3afad5e3c6b05039"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","connection","keep-alive"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","acceptLanguage","en-GB,en-US;q=0.9,en;q=0.8"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","acceptEncoding","gzip, deflate, br, zstd"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","host","nlab.ph.ucla.edu:9663"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","ipAddress","86.29.81.253"
"93844","clientLogIn","2024-06-27T22:45:19:433Z","requestURI","/game/65/1089/665a4578546c9bcc753c105c/state"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","clientId","667d75f18192d4557164cef3"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/667d75f18192d4557164cef3/connected?PROLIFIC_PID=667d75f18192d4557164cef3&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb746f222097a2978045"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","connection","keep-alive"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","acceptLanguage","en-US,en;q=0.9"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","acceptEncoding","gzip, deflate, br, zstd"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","host","nlab.ph.ucla.edu:9663"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","ipAddress","189.222.254.162"
"93845","clientLogIn","2024-06-27T22:45:21:793Z","requestURI","/game/65/1089/667d75f18192d4557164cef3/state"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","clientId","656cb321c053d63a280ae68c"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/656cb321c053d63a280ae68c/connected?PROLIFIC_PID=656cb321c053d63a280ae68c&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb86d62b12f248a4e274"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","connection","keep-alive"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","acceptLanguage","en-US,en;q=0.9"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","acceptEncoding","gzip, deflate, br, zstd"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","host","nlab.ph.ucla.edu:9663"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","ipAddress","69.159.169.111"
"93846","clientLogIn","2024-06-27T22:45:32:329Z","requestURI","/game/65/1089/656cb321c053d63a280ae68c/state"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","connection","keep-alive"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","acceptLanguage","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,af;q=0.6"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","acceptEncoding","gzip, deflate, br, zstd"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","host","nlab.ph.ucla.edu:9663"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","ipAddress","213.172.134.32"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","requestURI","/game/65/1089/61411d5f07fc9b36e69fe253/state"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","clientId","61411d5f07fc9b36e69fe253"
"93847","clientLogIn","2024-06-27T22:46:21:231Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/61411d5f07fc9b36e69fe253/connected?PROLIFIC_PID=61411d5f07fc9b36e69fe253&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb94aff67106c556de47"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","clientId","667085566664a3cf8c5dc812"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/667085566664a3cf8c5dc812/connected?PROLIFIC_PID=667085566664a3cf8c5dc812&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debac1bf4f30931582e7b"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","connection","keep-alive"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","acceptLanguage","en-US,en;q=0.9"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","acceptEncoding","gzip, deflate, br, zstd"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","host","nlab.ph.ucla.edu:9663"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","ipAddress","189.131.198.96"
"93848","clientLogIn","2024-06-27T22:46:23:712Z","requestURI","/game/65/1089/667085566664a3cf8c5dc812/state"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","clientId","6676d7e961b626d33b48d1cb"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6676d7e961b626d33b48d1cb/connected?PROLIFIC_PID=6676d7e961b626d33b48d1cb&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debd233e8842124ff6d7c"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","connection","keep-alive"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","acceptLanguage","en-GB,en;q=0.9"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","acceptEncoding","gzip, deflate, br"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","userAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","host","nlab.ph.ucla.edu:9663"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","ipAddress","31.205.115.242"
"93849","clientLogIn","2024-06-27T22:47:12:476Z","requestURI","/game/65/1089/6676d7e961b626d33b48d1cb/state"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","clientId","62b33f03dec53065c4ecc105"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/62b33f03dec53065c4ecc105/connected?PROLIFIC_PID=62b33f03dec53065c4ecc105&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debd5b7aa9479fbcf3ba3"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","connection","keep-alive"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","acceptLanguage","en-GB,en-US;q=0.9,en;q=0.8,bg;q=0.7"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","acceptEncoding","gzip, deflate, br, zstd"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","host","nlab.ph.ucla.edu:9663"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","ipAddress","82.35.234.254"
"93850","clientLogIn","2024-06-27T22:47:25:153Z","requestURI","/game/65/1089/62b33f03dec53065c4ecc105/state"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","clientId","6513f567375414e2f6668cc9"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6513f567375414e2f6668cc9/connected?PROLIFIC_PID=6513f567375414e2f6668cc9&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debda6e278be610582edf"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","connection","keep-alive"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","acceptLanguage","en-US,en;q=0.9,st;q=0.8,ny;q=0.7,haw;q=0.6,ig;q=0.5,xh;q=0.4,zu;q=0.3,fy;q=0.2,fr;q=0.1,vi;q=0.1,mi;q=0.1,pt;q=0.1,mt;q=0.1,es;q=0.1,af;q=0.1,cy;q=0.1,sw;q=0.1"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","acceptEncoding","gzip, deflate, br, zstd"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","host","nlab.ph.ucla.edu:9663"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","ipAddress","41.145.193.6"
"93851","clientLogIn","2024-06-27T22:47:34:692Z","requestURI","/game/65/1089/6513f567375414e2f6668cc9/state"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","clientId","66766ae3f8b8eae32a3573ad"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/66766ae3f8b8eae32a3573ad/connected?PROLIFIC_PID=66766ae3f8b8eae32a3573ad&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debd846eec2a2a304a2b2"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","connection","keep-alive"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","acceptLanguage","en-CA,en-US;q=0.9,en;q=0.8"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","acceptEncoding","gzip, deflate, br"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","userAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/126.0.6478.108 Mobile/15E148 Safari/604.1"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","host","nlab.ph.ucla.edu:9663"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","ipAddress","137.186.205.130"
"93852","clientLogIn","2024-06-27T22:47:41:979Z","requestURI","/game/65/1089/66766ae3f8b8eae32a3573ad/state"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","acceptEncoding","gzip, deflate, br"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","userAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","host","nlab.ph.ucla.edu:9663"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","ipAddress","31.205.115.242"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","requestURI","/game/65/1089/6676d7e961b626d33b48d1cb/state"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","clientId","6676d7e961b626d33b48d1cb"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6676d7e961b626d33b48d1cb/connected"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","connection","keep-alive"
"93853","clientLogIn","2024-06-27T22:50:38:311Z","acceptLanguage","en-GB,en;q=0.9"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","clientId","6513f567375414e2f6668cc9"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6513f567375414e2f6668cc9/connected?PROLIFIC_PID=6513f567375414e2f6668cc9&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debda6e278be610582edf"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","connection","keep-alive"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","acceptLanguage","en-US,en;q=0.9,st;q=0.8,ny;q=0.7,haw;q=0.6,ig;q=0.5,xh;q=0.4,zu;q=0.3,fy;q=0.2,fr;q=0.1,vi;q=0.1,mi;q=0.1,pt;q=0.1,mt;q=0.1,es;q=0.1,af;q=0.1,cy;q=0.1,sw;q=0.1"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","acceptEncoding","gzip, deflate, br, zstd"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","host","nlab.ph.ucla.edu:9663"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","ipAddress","41.145.193.6"
"93854","clientLogIn","2024-06-27T22:51:33:002Z","requestURI","/game/65/1089/6513f567375414e2f6668cc9/state"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","clientId","666316060a19030e10987142"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/666316060a19030e10987142/connected?PROLIFIC_PID=666316060a19030e10987142&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb570ebe830e773bacb1"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","connection","keep-alive"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","acceptLanguage","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","acceptEncoding","gzip, deflate, br, zstd"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","host","nlab.ph.ucla.edu:9663"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","ipAddress","41.122.18.237"
"93855","clientLogIn","2024-06-27T22:51:48:893Z","requestURI","/game/65/1089/666316060a19030e10987142/state"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","clientId","61411d5f07fc9b36e69fe253"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/61411d5f07fc9b36e69fe253/connected?PROLIFIC_PID=61411d5f07fc9b36e69fe253&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667deb94aff67106c556de47"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","connection","keep-alive"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","acceptLanguage","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,af;q=0.6"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","acceptEncoding","gzip, deflate, br, zstd"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","host","nlab.ph.ucla.edu:9663"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","ipAddress","213.172.134.32"
"93856","clientLogIn","2024-06-27T22:53:30:950Z","requestURI","/game/65/1089/61411d5f07fc9b36e69fe253/state"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","clientId","6513f567375414e2f6668cc9"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6513f567375414e2f6668cc9/connected?PROLIFIC_PID=6513f567375414e2f6668cc9&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debda6e278be610582edf"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","connection","keep-alive"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","acceptLanguage","en-US,en;q=0.9,st;q=0.8,ny;q=0.7,haw;q=0.6,ig;q=0.5,xh;q=0.4,zu;q=0.3,fy;q=0.2,fr;q=0.1,vi;q=0.1,mi;q=0.1,pt;q=0.1,mt;q=0.1,es;q=0.1,af;q=0.1,cy;q=0.1,sw;q=0.1"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","acceptEncoding","gzip, deflate, br, zstd"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","host","nlab.ph.ucla.edu:9663"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","ipAddress","41.145.193.6"
"93861","clientLogIn","2024-06-27T22:53:34:302Z","requestURI","/game/65/1089/6513f567375414e2f6668cc9/state"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","ipAddress","41.145.193.6"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","requestURI","/game/65/1089/6513f567375414e2f6668cc9/state"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","clientId","6513f567375414e2f6668cc9"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1089/6513f567375414e2f6668cc9/connected?PROLIFIC_PID=6513f567375414e2f6668cc9&STUDY_ID=667deab5e66408d00e091647&SESSION_ID=667debda6e278be610582edf"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","connection","keep-alive"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","acceptLanguage","en-US,en;q=0.9,st;q=0.8,ny;q=0.7,haw;q=0.6,ig;q=0.5,xh;q=0.4,zu;q=0.3,fy;q=0.2,fr;q=0.1,vi;q=0.1,mi;q=0.1,pt;q=0.1,mt;q=0.1,es;q=0.1,af;q=0.1,cy;q=0.1,sw;q=0.1"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","acceptEncoding","gzip, deflate, br, zstd"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","userAgent","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36"
"93862","clientLogIn","2024-06-27T22:54:43:483Z","host","nlab.ph.ucla.edu:9663"
"93863","initStart","2024-06-27T22:55:59:225Z","startStep","init"
"93864","initParameters","2024-06-27T22:55:59:230Z","connectivity","0.3"
"93864","initParameters","2024-06-27T22:55:59:230Z","po","100"
"93864","initParameters","2024-06-27T22:55:59:230Z","practiceScore","500"
"93864","initParameters","2024-06-27T22:55:59:230Z","nRounds","15"
"93864","initParameters","2024-06-27T22:55:59:230Z","percentA","0.3"
"93864","initParameters","2024-06-27T22:55:59:230Z","scoreA","500"
"93864","initParameters","2024-06-27T22:55:59:230Z","scoreB","500"
"93864","initParameters","2024-06-27T22:55:59:230Z","showScore","false"
